"ROAD","LI","CONTRI","JF","CF","SP","DE","TIME"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 21:58:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1334","0.70","22.02","-","2016-06-11 21:58:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 21:58:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 21:58:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 21:58:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:09:00"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:09:00"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:09:00"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:08:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:08:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.6588","0.75","46.80","+","2016-06-11 22:08:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0338","0.70","48.89","+","2016-06-11 22:08:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0439","0.70","51.84","+","2016-06-11 22:08:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0681","0.70","56.74","+","2016-06-11 22:08:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0628","0.70","61.73","+","2016-06-11 22:08:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0507","0.70","58.80","+","2016-06-11 22:08:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.73","54.38","-","2016-06-11 22:08:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.1763","0.74","62.24","-","2016-06-11 22:08:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.3073","0.74","62.66","-","2016-06-11 22:08:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.2082","0.74","62.11","-","2016-06-11 22:08:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.0535","0.94","45.13","-","2016-06-11 22:08:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:08:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:08:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:08:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:08:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:08:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:08:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:08:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:18:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:18:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:18:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:18:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:18:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.2957","0.72","48.01","+","2016-06-11 22:18:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0152","0.70","48.95","+","2016-06-11 22:18:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0231","0.70","51.92","+","2016-06-11 22:18:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0305","0.70","56.88","+","2016-06-11 22:18:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0282","0.70","61.88","+","2016-06-11 22:18:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0227","0.70","58.91","+","2016-06-11 22:18:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.71","54.20","-","2016-06-11 22:18:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0791","0.71","62.66","-","2016-06-11 22:18:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.1379","0.71","63.40","-","2016-06-11 22:18:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0934","0.71","62.60","-","2016-06-11 22:18:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.3707","0.80","51.67","-","2016-06-11 22:18:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:18:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:18:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:18:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:18:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:18:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:18:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:18:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:28:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:28:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:28:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:28:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:28:03"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.1327","0.71","48.56","+","2016-06-11 22:28:58"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0152","0.70","48.95","+","2016-06-11 22:28:58"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0143","0.70","51.95","+","2016-06-11 22:28:58"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0137","0.70","56.95","+","2016-06-11 22:28:58"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0126","0.70","61.95","+","2016-06-11 22:28:58"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0120","0.70","58.95","+","2016-06-11 22:28:58"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 22:28:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0355","0.70","62.85","-","2016-06-11 22:28:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0619","0.70","63.73","-","2016-06-11 22:28:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0419","0.70","62.82","-","2016-06-11 22:28:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.6153","0.74","54.61","-","2016-06-11 22:28:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:28:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:28:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:28:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:28:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:28:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:28:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:28:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:39:00"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:39:00"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:39:00"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:38:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:38:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0595","0.70","48.80","+","2016-06-11 22:38:57"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0042","0.70","48.99","+","2016-06-11 22:38:57"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0039","0.70","51.99","+","2016-06-11 22:38:57"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0137","0.70","56.95","+","2016-06-11 22:38:57"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0126","0.70","61.95","+","2016-06-11 22:38:57"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0120","0.70","58.95","+","2016-06-11 22:38:57"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 22:38:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0187","0.70","62.92","-","2016-06-11 22:38:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0278","0.70","63.88","-","2016-06-11 22:38:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0188","0.70","62.92","-","2016-06-11 22:38:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.2762","0.72","55.93","-","2016-06-11 22:38:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:38:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:38:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:38:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:38:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:38:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:38:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:38:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:48:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:48:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:48:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:48:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:48:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0313","0.70","48.90","+","2016-06-11 22:48:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0042","0.70","48.99","+","2016-06-11 22:48:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0039","0.70","51.99","+","2016-06-11 22:48:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0038","0.70","56.99","+","2016-06-11 22:48:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0035","0.70","61.99","+","2016-06-11 22:48:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0033","0.70","58.99","+","2016-06-11 22:48:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 22:48:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0115","0.70","62.95","-","2016-06-11 22:48:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0124","0.70","63.95","-","2016-06-11 22:48:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0116","0.70","62.95","-","2016-06-11 22:48:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.1239","0.70","56.52","-","2016-06-11 22:48:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:48:07"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:48:07"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:48:07"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:48:07"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:48:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:48:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:48:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 22:58:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 22:58:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 22:58:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 22:58:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 22:58:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0140","0.70","48.95","+","2016-06-11 22:58:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0042","0.70","48.99","+","2016-06-11 22:58:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0039","0.70","51.99","+","2016-06-11 22:58:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0038","0.70","56.99","+","2016-06-11 22:58:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0035","0.70","61.99","+","2016-06-11 22:58:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0033","0.70","58.99","+","2016-06-11 22:58:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 22:58:41"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0032","0.70","62.99","-","2016-06-11 22:58:41"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0124","0.70","63.95","-","2016-06-11 22:58:41"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0116","0.70","62.95","-","2016-06-11 22:58:41"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0556","0.70","56.78","-","2016-06-11 22:58:41"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 22:58:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 22:58:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 22:58:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 22:58:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 22:58:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 22:58:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 22:58:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 23:08:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 23:08:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 23:08:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 23:08:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 23:08:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.0286","0.94","42.22","+","2016-06-11 23:08:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0042","0.70","48.99","+","2016-06-11 23:08:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0039","0.70","51.99","+","2016-06-11 23:08:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0038","0.70","56.99","+","2016-06-11 23:08:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0035","0.70","61.99","+","2016-06-11 23:08:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0033","0.70","58.99","+","2016-06-11 23:08:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 23:08:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0032","0.70","62.99","-","2016-06-11 23:08:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0029","0.70","63.99","-","2016-06-11 23:08:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0032","0.70","62.99","-","2016-06-11 23:08:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0293","0.70","56.89","-","2016-06-11 23:08:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 23:08:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 23:08:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 23:08:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 23:08:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 23:08:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 23:08:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 23:08:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 23:18:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 23:18:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 23:18:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 23:18:04"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 23:18:05"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.9106","0.81","45.96","+","2016-06-11 23:18:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.0042","0.70","48.99","+","2016-06-11 23:18:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0039","0.70","51.99","+","2016-06-11 23:18:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.0038","0.70","56.99","+","2016-06-11 23:18:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.0035","0.70","61.99","+","2016-06-11 23:18:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.0033","0.70","58.99","+","2016-06-11 23:18:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 23:18:45"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0032","0.70","62.99","-","2016-06-11 23:18:45"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0029","0.70","63.99","-","2016-06-11 23:18:45"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0032","0.70","62.99","-","2016-06-11 23:18:45"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0131","0.70","56.95","-","2016-06-11 23:18:45"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 23:18:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 23:18:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 23:18:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","3.1409","0.70","22.00","-","2016-06-11 23:18:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","0.0021","0.70","28.00","+","2016-06-11 23:18:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","28.31","+","2016-06-11 23:18:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0","0.70","16.00","+","2016-06-11 23:18:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0022","0.70","32.00","-","2016-06-11 23:28:59"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","0.0016","0.70","32.00","+","2016-06-11 23:28:59"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","0.0027","0.70","25.00","+","2016-06-11 23:28:59"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","0.0026","0.70","25.00","-","2016-06-11 23:28:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","0.0026","0.70","25.00","+","2016-06-11 23:28:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.1569","0.89","45.13","+","2016-06-11 23:28:57"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.9986","0.88","45.66","+","2016-06-11 23:28:57"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.3075","0.89","47.36","+","2016-06-11 23:28:57"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","2.2277","0.92","48.34","+","2016-06-11 23:28:57"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","2.3854","0.90","51.92","+","2016-06-11 23:28:57"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","2.1248","0.93","50.45","+","2016-06-11 23:28:57"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.70","54.09","-","2016-06-11 23:28:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.0032","0.70","62.99","-","2016-06-11 23:28:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0029","0.70","63.99","-","2016-06-11 23:28:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0032","0.70","62.99","-","2016-06-11 23:28:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.0131","0.70","56.95","-","2016-06-11 23:28:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","0.0027","0.70","23.00","-","2016-06-11 23:28:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","0","0.70","21.00","-","2016-06-11 23:28:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","0.0019","0.70","26.00","-","2016-06-11 23:28:05"
